human_gene_id	mouse_gene_id	human_symbol	mouse_symbol	symbol_match
9267	19157	CYTH1	Cyth1	match
9270	16413	ITGB1BP1	Itgb1bp1	match
9271	57749	PIWIL1	Piwil1	match
9274	12055	BCL7C	Bcl7c	match
9275	12054	BCL7B	Bcl7b	match
9276	50797	COPB2	Copb2	match
9277	57315	WDR46	Wdr46	match
9278	81630	ZBTB22	Zbtb22	match
9282	26896	MED14	Med14	match
9283	171469	GPR37L1	Gpr37l1	match
9289	14766	ADGRG1	Adgrg1	match
9290	227326	GPR55	Gpr55	match
9293	620246	GPR52	Gpr52	match
9294	14739	S1PR2	S1pr2	match
9295	69207	SRSF11	Srsf11	match
9296	66144	ATP6V1F	Atp6v1f	match
9306	54607	SOCS6	Socs6	match
9308	12522	CD83	Cd83	match
9310	56525	ZNF235	Zfp235	mismatch
9311	171209	ASIC3	Asic3	match
9312	98741	KCNB2	Kcnb2	match
9313	30800	MMP20	Mmp20	match
9314	16600	KLF4	Klf4	match
9315	27528	NREP	Nrep	match
9317	19212	PTER	Pter	match
9318	12848	COPS2	Cops2	match
9319	69716	TRIP13	Trip13	match
9320	14897	TRIP12	Trip12	match
9321	109181	TRIP11	Trip11	match
9322	106628	TRIP10	Trip10	match
9324	94353	HMGN3	Hmgn3	match
9325	56404	TRIP4	Trip4	match
9326	448850	ZNHIT3	Znhit3	match
9328	70239	GTF3C5	Gtf3c5	match
9329	269252	GTF3C4	Gtf3c4	match
9330	98488	GTF3C3	Gtf3c3	match
9331	56386	B4GALT6	B4galt6	match
9333	74176	TGM5	Tgm5	match
9334	56336	B4GALT5	B4galt5	match
9337	69125	CNOT8	Cnot8	match
9338	237052	TCEAL1	Tceal1	match
9340	93896	GLP2R	Glp2r	match
9341	22319	VAMP3	Vamp3	match
9342	67474	SNAP29	Snap29	match
9343	20624	EFTUD2	Eftud2	match
9344	381921	TAOK2	Taok2	match
9349	65019	RPL23	Rpl23	match
9350	12622	CER1	Cer1	match
9351	65962	NHERF2	Nherf2	match
9352	53382	TXNL1	Txnl1	match
9353	20563	SLIT2	Slit2	match
9354	140630	UBE4A	Ube4a	match
9355	16870	LHX2	Lhx2	match
9356	18399	SLC22A6	Slc22a6	match
9358	223272	ITGBL1	Itgbl1	match
9360	228005	PPIG	Ppig	match
9361	74142	LONP1	Lonp1	match
9362	12891	CPNE6	Cpne6	match
9363	19337	RAB33A	Rab33a	match
9364	100972	RAB28	Rab28	match
9365	16591	KL	Kl	match
9367	56382	RAB9A	Rab9	human_extra_suffix
9368	26941	NHERF1	Nherf1	match
9369	18191	NRXN3	Nrxn3	match
9370	11450	ADIPOQ	Adipoq	match
9371	16569	KIF3B	Kif3b	match
9372	230597	ZFYVE9	Zfyve9	match
9373	18786	PLAA	Plaa	match
9374	54397	PPT2	Ppt2	match
9375	68059	TM9SF2	Tm9sf2	match
9376	19879	SLC22A8	Slc22a8	match
9377	12858	COX5A	Cox5a	match
9378	18189	NRXN1	Nrxn1	match
9379	18190	NRXN2	Nrxn2	match
9380	76238	GRHPR	Grhpr	match
9381	83762	OTOF	Otof	match
9382	16834	COG1	Cog1	match
9388	16891	LIPG	Lipg	match
9389	382113	SLC22A14	Slc22a14	match
9390	102570	SLC22A13	Slc22a13	match
9391	26371	CIAO1	Ciao1	match
9392	73122	TGFBRAP1	Tgfbrap1	match
9394	50785	HS6ST1	Hs6st1	match
9397	18108	NMT2	Nmt2	match
9398	630146	CD101	Cd101	match
9399	69106	STOML1	Stoml1	match
9400	170472	RECQL5	Recql5	match
9401	79456	RECQL4	Recql4	match
9402	17444	GRAP2	Grap2	match
9403	93684	SELENOF	Selenof	match
9404	107321	LPXN	Lpxn	match
9406	53861	ZRANB2	Zranb2	match
9407	231382	TMPRSS11D	Tmprss11d	match
9409	18633	PEX16	Pex16	match
9410	66585	SNRNP40	Snrnp40	match
9411	214137	ARHGAP29	Arhgap29	match
9412	108098	MED21	Med21	match
9413	381217	ENTREP1	Entrep1	match
9414	21873	TJP2	Tjp2	match
9415	56473	FADS2	Fads2	match
9416	74351	DDX23	Ddx23	match
9419	56724	CRIPT	Cript	match
9420	13123	CYP7B1	Cyp7b1	match
9421	15110	HAND1	Hand1	match
9422	115485607	ZNF264	Zfp264	mismatch
9423	18208	NTN1	Ntn1	match
9424	52150	KCNK6	Kcnk6	match
9425	12593	CDYL	Cdyl	match
9427	13599	ECEL1	Ecel1	match
9429	26357	ABCG2	Abcg2	match
9435	54371	CHST2	Chst2	match
9437	17086	NCR1	Ncr1	match
9439	70208	MED23	Med23	match
9440	234959	MED17	Med17	match
9441	70625	MED26	Med26	match
9442	68975	MED27	Med27	match
9443	66213	MED7	Med7	match
9444	19317	QKI	Qki	match
9445	16432	ITM2B	Itm2b	match
9446	14873	GSTO1	Gsto1	match
9447	383619	AIM2	Aim2	match
9448	26921	MAP4K4	Map4k4	match
9450	17084	LY86	Ly86	match
9451	13666	EIF2AK3	Eif2ak3	match
9452	16431	ITM2A	Itm2a	match
9453	14593	GGPS1	Ggps1	match
9454	26558	HOMER3	Homer3	match
9455	26557	HOMER2	Homer2	match
9456	26556	HOMER1	Homer1	match
9457	57756	FHL5	Fhl5	match
9459	73341	ARHGEF6	Arhgef6	match
9462	226525	RASAL2	Rasal2	match
9463	18693	PICK1	Pick1	match
9464	15111	HAND2	Hand2	match
9465	432442	AKAP7	Akap7	match
9466	50931	IL27RA	Il27ra	match
9467	24056	SH3BP5	Sh3bp5	match
9468	236899	PCYT1B	Pcyt1b	match
9469	53374	CHST3	Chst3	match
9470	26987	EIF4E2	Eif4e2	match
9472	238161	AKAP6	Akap6	match
9473	230787	THEMIS2	Themis2	match
9474	11793	ATG5	Atg5	match
9475	19878	ROCK2	Rock2	match
9476	16541	NAPSA	Napsa	match
9477	56771	MED20	Med20	match
9478	29867	CABP1	Cabp1	match
9479	19099	MAPK8IP1	Mapk8ip1	match
9480	225631	ONECUT2	Onecut2	match
9481	74011	SLC25A27	Slc25a27	match
9482	55943	STX8	Stx8	match
9486	98388	CHST10	Chst10	match
9487	327942	PIGL	Pigl	match
9488	55981	PIGB	Pigb	match
9489	74451	PGS1	Pgs1	match
9491	228769	PSMF1	Psmf1	match
9493	71819	KIF23	Kif23	match
9495	238276	AKAP5	Akap5	match
9496	21387	TBX4	Tbx4	match
9497	218756	SLC4A7	Slc4a7	match
9498	59033	SLC4A8	Slc4a8	match
9499	58916	MYOT	Myot	match
9500	94275	MAGED1	Maged1	match
9501	380714	RPH3AL	Rph3al	match
9507	240913	ADAMTS4	Adamts4	match
9508	330119	ADAMTS3	Adamts3	match
9509	216725	ADAMTS2	Adamts2	match
9510	11504	ADAMTS1	Adamts1	match
9512	73078	PMPCB	Pmpcb	match
9513	23879	FXR2	Fxr2	match
9514	53897	GAL3ST1	Gal3st1	match
9515	207227	STXBP5L	Stxbp5l	match
9516	56722	LITAF	Litaf	match
9517	20773	SPTLC2	Sptlc2	match
9518	23886	GDF15	Gdf15	match
9519	237336	TBPL1	Tbpl1	match
9520	19155	NPEPPS	Npepps	match
9521	66143	EEF1E1	Eef1e1	match
9522	107767	SCAMP1	Scamp1	match
9524	106529	TECR	Tecr	match
9525	20479	VPS4B	Vps4b	match
9526	24070	MPDU1	Mpdu1	match
9527	53334	GOSR1	Gosr1	match
9528	56374	TMEM59	Tmem59	match
9529	70369	BAG5	Bag5	match
9530	67384	BAG4	Bag4	match
9531	29810	BAG3	Bag3	match
9532	213539	BAG2	Bag2	match
9533	20016	POLR1C	Polr1c	match
9535	63986	GMFG	Gmfg	match
9536	64292	PTGES	Ptges	match
9537	277414	TP53I11	Trp53i11	mismatch
9538	13663	EI24	Ei24	match
9540	100504680	TP53I3	Gm20348	mismatch
9541	66935	CIRSR	Cir1	mismatch
9542	100042150	NRG2	Nrg2	match
9543	19289	IGDCC3	Igdcc3	match
9545	19340	RAB3D	Rab3d	match
9546	57267	APBA3	Apba3	match
9547	57266	CXCL14	Cxcl14	match
9550	66290	ATP6V1G1	Atp6v1g1	match
9551	57423	ATP5MF	Atp5mf	match
9552	216873	SPAG7	Spag7	match
9553	66845	MRPL33	Mrpl33	match
9554	20333	SEC22B	Sec22b	match
9555	26914	MACROH2A1	Macroh2a1	match
9556	70257	ATP5MJ	Atp5mj	match
9557	68058	CHD1L	Chd1l	match
9559	30930	VPS26A	Vps26a	match
9562	17330	MINPP1	Minpp1	match
9563	100198	H6PD	H6pd	match
9564	12927	BCAR1	Bcar1	match
9567	14904	GTPBP1	Gtpbp1	match
9568	242425	GABBR2	Gabbr2	match
9569	57080	GTF2IRD1	Gtf2ird1	match
9570	56494	GOSR2	Gosr2	match
9572	217166	NR1D1	Nr1d1	match
9573	14562	GDF3	Gdf3	match
9575	12753	CLOCK	Clock	match
9576	381350	SPAG6	Spag6	match
9577	107976	BABAM2	Babam2	match
9578	217866	CDC42BPB	Cdc42bpb	match
9580	20668	SOX13	Sox13	match
9581	213760	PREPL	Prepl	match
9584	170791	RBM39	Rbm39	match
9585	240641	KIF20B	Kif20b	match
9586	231991	CREB5	Creb5	match
9587	66591	MAD2L1BP	Mad2l1bp	match
9588	11758	PRDX6	Prdx6	match
9589	60532	WTAP	Wtap	match
9590	83397	AKAP12	Akap12	match
9592	15936	IER2	Ier2	match
9595	227929	CYTIP	Cytip	match
9596	258705	OR1R1	Or1r1	match
9600	18739	PITPNM1	Pitpnm1	match
9601	12304	PDIA4	Pdia4	match
9603	18025	NFE2L3	Nfe2l3	match
9604	56736	RNF14	Rnf14	match
9605	72325	VPS9D1	Vps9d1	match
9607	27220	CARTPT	Cartpt	match
9609	76877	RAB36	Rab36	match
9610	225870	RIN1	Rin1	match
9611	20185	NCOR1	Ncor1	match
9612	20602	NCOR2	Ncor2	match
9615	14544	GDA	Gda	match
9616	19823	RNF7	Rnf7	match
9617	211253	MTRF1	Mtrf1	match
9618	22032	TRAF4	Traf4	match
9619	11307	ABCG1	Abcg1	match
9620	12614	CELSR1	Celsr1	match
9622	56640	KLK4	Klk4	match
9625	11302	AATK	Aatk	match
9627	67847	SNCAIP	Sncaip	match
9628	50779	RGS6	Rgs6	match
9630	14675	GNA14	Gna14	match
9631	170762	NUP155	Nup155	match
9632	218811	SEC24C	Sec24c	match
9633	17771	TESMIN	Tesmin	match
9635	229933	CLCA2	Clca2	match
9636	100038882	ISG15	Isg15	match
9637	225020	FEZ2	Fez2	match
9638	235180	FEZ1	Fez1	match
9639	234094	ARHGEF10	Arhgef10	match
9640	233410	ZNF592	Zfp592	mismatch
9641	56489	IKBKE	Ikbke	match
9643	56397	MORF4L2	Morf4l2	match
9644	14218	SH3PXD2A	Sh3pxd2a	match
9645	320878	MICAL2	Mical2	match
9646	22083	CTR9	Ctr9	match
9647	68606	PPM1F	Ppm1f	match
9648	70297	GCC2	Gcc2	match
9649	241308	RALGPS1	Ralgps1	match
9650	67472	MTFR1	Mtfr1	match
9651	269615	PLCH2	Plch2	match
9652	218343	SKIC3	Skic3	match
9653	23908	HS2ST1	Hs2st1	match
9654	67534	TTLL4	Ttll4	match
9655	56468	SOCS5	Socs5	match
9656	240087	MDC1	Mdc1	match
9657	320299	IQCB1	Iqcb1	match
9658	329003	ZNF516	Zfp516	mismatch
9662	381644	CEP135	Cep135	match
9663	64898	LPIN2	Lpin2	match
9665	223989	MARF1	Marf1	match
9666	224170	DZIP3	Dzip3	match
9667	224902	SAFB2	Safb2	match
9669	226982	EIF5B	Eif5b	match
9670	230673	IPO13	Ipo13	match
9671	320916	WSCD2	Wscd2	match
9672	20970	SDC3	Sdc3	match
9673	229517	SLC25A44	Slc25a44	match
9674	67647	KIAA0040	4930523C07Rik	mismatch
9675	75425	TTI1	Tti1	match
9677	327655	PPIP5K1	Ppip5k1	match
9678	75725	PHF14	Phf14	match
9679	77938	FAM53B	Fam53b	match
9681	277854	DEPDC5	Depdc5	match
9682	230674	KDM4A	Kdm4a	match
9683	80750	N4BP1	N4bp1	match
9684	223664	LRRC14	Lrrc14	match
9685	216705	CLINT1	Clint1	match
9686	232334	VGLL4	Vgll4	match
9687	268527	GREB1	Greb1	match
9688	71805	NUP93	Nup93	match
9689	66882	BZW1	Bzw1	match
9690	100763	UBE3C	Ube3c	match
9692	66132	PRORP	Prorp	match
9693	76089	RAPGEF2	Rapgef2	match
9694	66736	EMC2	Emc2	match
9695	192193	EDEM1	Edem1	match
9696	230872	CROCC	Crocc	match
9697	170829	TRAM2	Tram2	match
9698	80912	PUM1	Pum1	match
9699	116838	RIMS2	Rims2	match
9700	105988	ESPL1	Espl1	match
9701	71474	PPP6R2	Ppp6r2	match
9702	74360	CEP57	Cep57	match
9703	72503	BLTP2	Bltp2	match
9704	71723	DHX34	Dhx34	match
9705	240690	ST18	St18	match
9706	29869	ULK2	Ulk2	match
9709	64209	HERPUD1	Herpud1	match
9710	233103	GARRE1	Garre1	match
9711	100502698	RUBCN	Rubcn	match
9712	98910	USP6NL	Usp6nl	match
9715	76156	FAM131B	Fam131b	match
9716	11834	AQR	Aqr	match
9717	665119	SEC14L5	Sec14l5	match
9719	77794	ADAMTSL2	Adamtsl2	match
9721	432839	GPRIN2	Gprin2	match
9722	70729	NOS1AP	Nos1ap	match
9723	20349	SEMA3E	Sema3e	match
9725	208795	TMEM63A	Tmem63a	match
9726	233905	ZNF646	Zfp646	mismatch
9727	215445	RAB11FIP3	Rab11fip3	match
9728	70354	SECISBP2L	Secisbp2l	match
9729	212448	KIAA0408	9330159F19Rik	mismatch
9730	321006	DCAF1	Dcaf1	match
9731	230967	CEP104	Cep104	match
9732	238130	DOCK4	Dock4	match
9733	53890	SART3	Sart3	match
9734	79221	HDAC9	Hdac9	match
9735	208628	KNTC1	Kntc1	match
9736	17847	USP34	Usp34	match
9737	67298	GPRASP1	Gprasp1	match
9738	101565	CCP110	Ccp110	match
9739	233904	SETD1A	Setd1a	match
9741	17775	LAPTM4A	Laptm4a	match
9742	106633	IFT140	Ift140	match
9743	330914	ARHGAP32	Arhgap32	match
9744	216859	ACAP1	Acap1	match
9745	243937	ZNF536	Zfp536	mismatch
9746	232370	CLSTN3	Clstn3	match
9747	77574	TCAF1	Tcaf1	match
9748	20874	SLK	Slk	match
9749	215789	PHACTR2	Phactr2	match
9750	193385	RIPOR2	Ripor2	match
9751	241727	SNPH	Snph	match
9752	192161	PCDHA9	Pcdha9	match
9753	22758	ZSCAN12	Zscan12	match
9754	236920	STARD8	Stard8	match
9755	73174	TBKBP1	Tbkbp1	match
9757	75410	KMT2B	Kmt2b	match
9758	333605	FRMPD4	Frmpd4	match
9759	208727	HDAC4	Hdac4	match
9760	252838	TOX	Tox	match
9761	109154	MLEC	Mlec	match
9762	241638	LZTS3	Lzts3	match
9764	234797	KIAA0513	6430548M08Rik	mismatch
9765	218441	ZFYVE16	Zfyve16	match
9766	217684	SUSD6	Susd6	match
9767	382207	JADE3	Jade3	match
9768	68026	PCLAF	Pclaf	match
9770	215653	RASSF2	Rassf2	match
9771	217944	RAPGEF5	Rapgef5	match
9772	71947	TMEM94	Tmem94	match
9774	72567	BCLAF1	Bclaf1	match
9775	192170	EIF4A3	Eif4a3	match
9776	51897	ATG13	Atg13	match
9777	99237	TM9SF4	Tm9sf4	match
9778	320661	KIAA0232	D5Ertd579e	mismatch
9779	72238	TBC1D5	Tbc1d5	match
9780	234839	PIEZO1	Piezo1	match
9781	108089	RNF144A	Rnf144a	match
9782	17184	MATR3	Matr3	match
9783	242662	RIMS3	Rims3	match
9784	266781	SNX17	Snx17	match
9785	64340	DHX38	Dhx38	match
9786	76967	KIAA0586	2700049A03Rik	mismatch
9787	218977	DLGAP5	Dlgap5	match
9788	211401	MTSS1	Mtss1	match
9789	66624	SPCS2	Spcs2	match
9790	213895	BMS1	Bms1	match
9791	19210	PTDSS1	Ptdss1	match
9792	58172	SERTAD2	Sertad2	match
9793	75786	CKAP5	Ckap5	match
9794	103806	MAML1	Maml1	match
9796	105653	PHYHIP	Phyhip	match
9797	381801	TATDN2	Tatdn2	match
9798	71955	IST1	Ist1	match
9801	56284	MRPL19	Mrpl19	match
9802	23994	DAZAP2	Dazap2	match
9804	67952	TOMM20	Tomm20	match
9805	69938	SCRN1	Scrn1	match
9806	94214	SPOCK2	Spock2	match
9807	27399	IP6K1	Ip6k1	match
9810	233900	RNF40	Rnf40	match
9811	269037	CTIF	Ctif	match
9812	66839	DELE1	Dele1	match
9813	230648	EFCAB14	Efcab14	match
9814	78887	SFI1	Sfi1	match
9815	26431	GIT2	Git2	match
9816	382038	URB2	Urb2	match
9817	50868	KEAP1	Keap1	match
9818	71844	NUP58	Nup58	match
9819	72033	TSC22D2	Tsc22d2	match
9820	66515	CUL7	Cul7	match
9821	12421	RB1CC1	Rb1cc1	match
9823	67416	ARMCX2	Armcx2	match
9824	228482	ARHGAP11A	Arhgap11a	match
9825	263876	SPATA2	Spata2	match
9826	213498	ARHGEF11	Arhgef11	match
9827	242406	RGP1	Rgp1	match
9828	207212	ARHGEF17	Arhgef17	match
9829	72685	DNAJC6	Dnajc6	match
9830	74735	TRIM14	Trim14	match
9831	78834	ZNF623	Zfp623	mismatch
9832	76217	JAKMIP2	Jakmip2	match
9833	17279	MELK	Melk	match
9836	329504	LCMT2	Lcmt2	match
9837	69270	GINS1	Gins1	match
9839	24136	ZEB2	Zeb2	match
9840	67596	TESPA1	Tespa1	match
9841	268294	ZBTB24	Zbtb24	match
9842	353047	PLEKHM1	Plekhm1	match
9843	15203	HEPH	Heph	match
9844	140580	ELMO1	Elmo1	match
9846	14389	GAB2	Gab2	match
9847	74741	C2CD5	C2cd5	match
9848	71306	MFAP3L	Mfap3l	match
9849	72672	ZNF518A	Zfp518a	mismatch
9851	74477	KIAA0753	4933427D14Rik	mismatch
9852	77781	EPM2AIP1	Epm2aip1	match
9853	100213	RUSC2	Rusc2	match
9854	71764	C2CD2L	C2cd2l	match
9855	227377	FARP2	Farp2	match
9856	210108	KIAA0319	D130043K22Rik	mismatch
9857	74081	CEP350	Cep350	match
9858	241289	PPP1R26	Ppp1r26	match
9859	545389	CEP170	Cep170	match
9860	269473	LRIG2	Lrig2	match
9861	66413	PSMD6	Psmd6	match
9862	23989	MED24	Med24	match
9863	50791	MAGI2	Magi2	match
9865	66873	TRIL	Tril	match
9866	330627	TRIM66	Trim66	match
9867	224938	PJA2	Pja2	match
9868	28185	TOMM70	Tomm70a	mouse_extra_suffix
9869	84505	SETDB1	Setdb1	match
9870	68497	AREL1	Arel1	match
9871	69608	SEC24D	Sec24d	match
9873	207278	FCHSD2	Fchsd2	match
9874	228012	TLK1	Tlk1	match
9875	207932	URB1	Urb1	match
9877	70579	ZC3H11A	Zc3h11a	match
9878	268741	TOX4	Tox4	match
9879	212880	DDX46	Ddx46	match
9880	320080	ZBTB39	Zbtb39	match
9881	320429	TRANK1	Trank1	match
9882	210789	TBC1D4	Tbc1d4	match
9883	107939	POM121	Pom121	match
9885	228983	OSBPL2	Osbpl2	match
9886	69288	RHOBTB1	Rhobtb1	match
9887	226517	SMG7	Smg7	match
9889	223773	ZBED4	Zbed4	match
9890	229791	PLPPR4	Plppr4	match
9891	77976	NUAK1	Nuak1	match
9892	20616	SNAP91	Snap91	match
9894	71718	TELO2	Telo2	match
9895	104859	TECPR2	Tecpr2	match
9896	103199	FIG4	Fig4	match
9897	223593	WASHC5	Washc5	match
9898	74383	UBAP2L	Ubap2l	match
9899	64176	SV2B	Sv2b	match
9900	64051	SV2A	Sv2a	match
9901	259302	SRGAP3	Srgap3	match
9902	17534	MRC2	Mrc2	match
9903	242785	KLHL21	Klhl21	match
9904	74111	RBM19	Rbm19	match
9905	97761	SGSM2	Sgsm2	match
9907	231855	AP5Z1	Ap5z1	match
9908	23881	G3BP2	G3bp2	match
9909	229541	DENND4B	Dennd4b	match
9910	29809	RABGAP1L	Rabgap1l	match
9911	68875	TMCC2	Tmcc2	match
9912	216831	ARHGAP44	Arhgap44	match
9913	72195	SUPT7L	Supt7l	match
9914	69047	ATP2C2	Atp2c2	match
9915	11864	ARNT2	Arnt2	match
9917	215015	FAM20B	Fam20b	match
9918	68298	NCAPD2	Ncapd2	match
9919	227648	SEC16A	Sec16a	match
9920	74901	KBTBD11	Kbtbd11	match
9921	50849	RNF10	Rnf10	match
9922	232227	IQSEC1	Iqsec1	match
9923	230848	ZBTB40	Zbtb40	match
9924	103135	PAN2	Pan2	match
9925	230119	ZBTB5	Zbtb5	match
9926	226856	LPGAT1	Lpgat1	match
9927	170731	MFN2	Mfn2	match
9928	381293	KIF14	Kif14	match
9929	74158	JOSD1	Josd1	match
9931	78455	HELZ	Helz	match
9933	52874	PUM3	Pum3	match
9934	140795	P2RY14	P2ry14	match
9935	16658	MAFB	Mafb	match
9936	66205	CD302	Cd302	match
9937	55947	DCLRE1A	Dclre1a	match
9938	232201	ARHGAP25	Arhgap25	match
9939	60365	RBM8A	Rbm8a	match
9940	320256	DLEC1	Dlec1	match
9941	208194	EXOG	Exog	match
9942	102448	XYLB	Xylb	match
9943	108737	OXSR1	Oxsr1	match
9945	14584	GFPT2	Gfpt2	match
9946	66609	CRYZL1	Cryzl1	match
9948	22388	WDR1	Wdr1	match
9949	56068	AMMECR1	Ammecr1	match
9950	27277	GOLGA5	Golga5	match
9951	628779	HS3ST4	Hs3st4	match
9956	195646	HS3ST2	Hs3st2	match
9957	15476	HS3ST1	Hs3st1	match
9958	14479	USP15	Usp15	match
9960	235441	USP3	Usp3	match
9961	78388	MVP	Mvp	match
9962	54338	SLC23A2	Slc23a2	match
9963	20522	SLC23A1	Slc23a1	match
9965	14170	FGF19	Fgf15	mismatch
9966	326623	TNFSF15	Tnfsf15	match
9967	230753	THRAP3	Thrap3	match
9968	59024	MED12	Med12	match
9969	327987	MED13	Med13	match
9970	12355	NR1I3	Nr1i3	match
9971	20186	NR1H4	Nr1h4	match
9972	218210	NUP153	Nup153	match
9973	12460	CCS	Ccs	match
9975	353187	NR1D2	Nr1d2	match
9978	56438	RBX1	Rbx1	match
9980	70028	DOP1B	Dop1b	match
9982	14181	FGFBP1	Fgfbp1	match
9984	225160	THOC1	Thoc1	match
9985	56739	REC8	Rec8	match
9986	19671	RCE1	Rce1	match
9987	50926	HNRNPDL	Hnrnpdl	match
9988	23857	DMTF1	Dmtf1	match
9989	70351	PPP4R1	Ppp4r1	match
9990	107723	SLC12A6	Slc12a6	match
9991	230257	PTBP3	Ptbp3	match
9992	246133	KCNE2	Kcne2	match
9993	13356	DGCR2	Dgcr2	match
9994	26885	CASP8AP2	Casp8ap2	match
9997	100126824	SCO2	Sco2	match
10000	23797	AKT3	Akt3	match
10001	69792	MED6	Med6	match
10002	23958	NR2E3	Nr2e3	match
10003	72560	NAALAD2	Naalad2	match
10004	381204	NAALADL1	Naaladl1	match
10005	170789	ACOT8	Acot8	match
10006	11308	ABI1	Abi1	match
10007	26384	GNPDA1	Gnpda1	match
10008	57442	KCNE3	Kcne3	match
10009	56805	ZBTB33	Zbtb33	match
10010	21353	TANK	Tank	match
10011	24068	SRA1	Sra1	match
10013	15185	HDAC6	Hdac6	match
10014	15184	HDAC5	Hdac5	match
10015	18571	PDCD6IP	Pdcd6ip	match
10016	18570	PDCD6	Pdcd6	match
10017	12049	BCL2L10	Bcl2l10	match
10018	12125	BCL2L11	Bcl2l11	match
10019	16923	SH2B3	Sh2b3	match
10020	50798	GNE	Gne	match
10021	330953	HCN4	Hcn4	match
10022	23919	INSL5	Insl5	match
10023	14296	FRAT1	Frat1	match
10024	78733	TROAP	Troap	match
10025	216154	MED16	Med16	match
10026	329777	PIGK	Pigk	match
10036	27221	CHAF1A	Chaf1a	match
10038	11546	PARP2	Parp2	match
10039	235587	PARP3	Parp3	match
10040	71943	TOM1L1	Tom1l1	match
10042	70823	HMGXB4	Hmgxb4	match
10043	21968	TOM1	Tom1	match
10044	27387	SH2D3C	Sh2d3c	match
10045	108168318	SH2D3A	Gm46575	mismatch
10046	333639	MAMLD1	Mamld1	match
10047	13012	CST8	Cst8	match
10048	56705	RANBP9	Ranbp9	match
10049	23950	DNAJB6	Dnajb6	match
10050	319848	SLC17A4	Slc17a4	match
10051	70099	SMC4	Smc4	match
10052	14615	GJC1	Gjc1	match
10053	11768	AP1M2	Ap1m2	match
10054	50995	UBA2	Uba2	match
10055	56459	SAE1	Sae1	match
10056	23874	FARSB	Farsb	match
10057	27416	ABCC5	Abcc5	match
10058	74104	ABCB6	Abcb6	match
10059	74006	DNM1L	Dnm1l	match
10060	20928	ABCC9	Abcc9	match
10061	27407	ABCF2	Abcf2	match
10062	22259	NR1H3	Nr1h3	match
10063	12856	COX17	Cox17	match
10066	24044	SCAMP2	Scamp2	match
10068	16068	IL18BP	Il18bp	match
10069	53858	RWDD2B	Rwdd2b	match
10072	75221	DPP3	Dpp3	match
10073	66069	SNUPN	Snupn	match
10075	59026	HUWE1	Huwe1	match
10076	19273	PTPRU	Ptpru	match
10077	27027	TSPAN32	Tspan32	match
10078	56844	TSSC4	Tssc4	match
10079	11981	ATP9A	Atp9a	match
10081	50996	PDCD7	Pdcd7	match
10082	23888	GPC6	Gpc6	match
10083	72088	USH1C	Ush1c	match
10084	54633	PQBP1	Pqbp1	match
10085	13612	EDIL3	Edil3	match
10086	654498	HHLA1	Hhla1	match
10087	68018	CERT1	Cert1	match
10089	16530	KCNK7	Kcnk7	match
10090	338362	UST	Ust	match
10092	67771	ARPC5	Arpc5	match
10093	68089	ARPC4	Arpc4	match
10094	56378	ARPC3	Arpc3	match
10095	11867	ARPC1B	Arpc1b	match
10096	74117	ACTR3	Actr3	match
10097	66713	ACTR2	Actr2	match
10098	56224	TSPAN5	Tspan5	match
10099	56434	TSPAN3	Tspan3	match
10100	70747	TSPAN2	Tspan2	match
10101	26426	NUBP2	Nubp2	match
10102	66399	TSFM	Tsfm	match
10103	66805	TSPAN1	Tspan1	match
10105	105675	PPIF	Ppif	match
10106	52468	CTDSP2	Ctdsp2	match
10107	19824	TRIM10	Trim10	match
10109	76709	ARPC2	Arpc2	match
10110	27219	SGK2	Sgk2	match
10111	19360	RAD50	Rad50	match
10112	19348	KIF20A	Kif20a	match
10113	50907	PREB	Preb	match
10114	15259	HIPK3	Hipk3	match
10116	14155	FEM1B	Fem1b	match
10117	13801	ENAM	Enam	match
10120	226977	ACTR1B	Actr1b	match
10121	54130	ACTR1A	Actr1a	match
10123	320982	ARL4C	Arl4c	match
10124	11861	ARL4A	Arl4a	match
10125	19419	RASGRP1	Rasgrp1	match
10126	54152	DNAL4	Dnal4	match
10127	74120	ZNF263	Zfp263	mismatch
10128	72416	LRPPRC	Lrpprc	match
10129	320365	FRY	Fry	match
10130	71853	PDIA6	Pdia6	match
10131	68015	TRAP1	Trap1	match
10133	71648	OPTN	Optn	match
10134	27061	BCAP31	Bcap31	match
10135	59027	NAMPT	Nampt	match
10137	75710	RBM12	Rbm12	match
10138	67057	YAF2	Yaf2	match
10139	76688	ARFRP1	Arfrp1	match
10140	22057	TOB1	Tob1	match
10142	100986	AKAP9	Akap9	match
10143	403395	CLEC3A	Clec3a	match
10144	58909	FAM13A	Fam13a	match
10146	27041	G3BP1	G3bp1	match
10147	234373	SUGP2	Sugp2	match
10148	50498	EBI3	Ebi3	match
10149	237175	ADGRG2	Adgrg2	match
10150	105559	MBNL2	Mbnl2	match
10152	329165	ABI2	Abi2	match
10153	12607	CEBPZ	Cebpz	match
10154	54712	PLXNC1	Plxnc1	match
10155	21849	TRIM28	Trim28	match
10156	54153	RASA4	Rasa4	match
10157	30956	AASS	Aass	match
10158	67182	PDZK1IP1	Pdzk1ip1	match
10159	70495	ATP6AP2	Atp6ap2	match
10160	223254	FARP1	Farp1	match
10161	67168	LPAR6	Lpar6	match
10162	14792	LPCAT3	Lpcat3	match
10163	242687	WASF2	Wasf2	match
